activity_id,deal_id,rep_id,activity_type,activity_date,duration_mins,outcome,notes
A000001,D00730,R002,Meeting,2023-02-25,60,No Response,Awaiting legal review
A000002,D00283,R001,Follow-up,2024-12-18,60,No Response,Awaiting legal review
A000003,D00362,R001,Call,2023-08-29,45,No Response,
A000004,D00441,R002,Meeting,2024-08-25,90,Neutral,Budget approved
A000005,D00093,R005,Proposal Sent,2024-05-05,45,Neutral,Sent pricing deck
A000006,D00753,R002,Call,2023-06-13,90,Positive,Champion confirmed
A000007,D00867,R005,Email,2024-04-21,15,Neutral,Sent pricing deck
A000008,D00142,R005,Proposal Sent,2023-12-21,45,Neutral,
A000009,D00749,R004,Call,2024-01-16,30,Positive,Budget approved
A000010,D00653,R004,Call,2024-05-06,45,Positive,Awaiting legal review
A000011,D00701,R004,Follow-up,2024-04-09,60,Neutral,Sent pricing deck
A000012,D00998,R003,Email,2024-01-13,45,Negative,Awaiting legal review
A000013,D00049,R003,Demo,2024-08-16,90,Negative,Stakeholder meeting set
A000014,D00881,R002,Demo,2023-03-12,45,Neutral,Decision deferred
A000015,D01160,R001,Meeting,2024-06-02,120,Neutral,Budget approved
A000016,D00555,R005,Email,2023-04-24,15,Positive,
A000017,D00404,R002,Call,2024-06-23,90,Neutral,Decision deferred
A000018,D00892,R005,Call,2024-12-17,15,No Response,Awaiting legal review
A000019,D00865,R002,Demo,2023-06-14,30,Positive,Budget approved
A000020,D00602,R004,Proposal Sent,2024-07-27,30,Negative,Budget approved
A000021,D00341,R005,Meeting,2024-06-17,90,Positive,Awaiting legal review
A000022,D00704,R001,Demo,2023-03-29,15,Positive,Sent pricing deck
A000023,D00318,R003,Email,2023-12-02,15,Positive,Decision deferred
A000024,D00618,R002,Demo,2023-06-08,45,Positive,Budget approved
A000025,D00382,R002,Follow-up,2023-01-11,30,Positive,Follow up scheduled
A000026,D00233,R001,Follow-up,2023-10-01,60,Positive,Awaiting legal review
A000027,D00817,R004,Call,2023-09-23,60,Positive,Awaiting legal review
A000028,D00553,R005,Email,2024-06-06,30,Positive,Champion confirmed
A000029,D00856,R003,Proposal Sent,2023-03-28,60,Neutral,Follow up scheduled
A000030,D00819,R001,Email,2024-12-11,45,Positive,Follow up scheduled
A000031,D00183,R004,Demo,2023-09-28,60,Negative,Champion confirmed
A000032,D01065,R002,Follow-up,2024-11-10,60,Negative,
A000033,D00397,R004,Follow-up,2024-08-09,90,Neutral,Sent pricing deck
A000034,D00779,R003,Follow-up,2024-05-15,60,No Response,Decision deferred
A000035,D00907,R001,Demo,2023-04-27,120,Negative,Follow up scheduled
A000036,D00127,R004,Proposal Sent,2023-06-11,45,Positive,Budget approved
A000037,D00001,R003,Follow-up,2023-07-05,60,Negative,Stakeholder meeting set
A000038,D01192,R001,Demo,2023-07-22,15,Neutral,Sent pricing deck
A000039,D00019,R005,Meeting,2023-06-18,45,Positive,Decision deferred
A000040,D00584,R005,Email,2024-05-31,15,Neutral,Decision deferred
A000041,D00456,R003,Proposal Sent,2024-12-30,120,No Response,
A000042,D00957,R004,Follow-up,2024-12-18,15,Neutral,
A000043,D01133,R002,Email,2024-04-21,120,Positive,Sent pricing deck
A000044,D00445,R002,Email,2024-07-11,60,Positive,Sent pricing deck
A000045,D00602,R004,Proposal Sent,2024-08-31,60,No Response,Decision deferred
A000046,D00103,R002,Call,2023-04-19,120,Neutral,Awaiting legal review
A000047,D00988,R004,Meeting,2023-08-02,60,Negative,Champion confirmed
A000048,D00520,R004,Demo,2024-05-21,30,Positive,Awaiting legal review
A000049,D01177,R003,Email,2024-12-16,15,Positive,Budget approved
A000050,D00859,R001,Email,2024-07-12,120,Negative,Stakeholder meeting set
A000051,D00174,R003,Demo,2024-12-30,60,No Response,Follow up scheduled
A000052,D01005,R005,Call,2023-11-09,120,Positive,Budget approved
A000053,D00431,R003,Call,2023-10-19,30,No Response,Decision deferred
A000054,D00727,R003,Email,2024-12-27,60,Neutral,Awaiting legal review
A000055,D00850,R003,Follow-up,2023-11-08,60,Neutral,
A000056,D00990,R002,Meeting,2023-09-22,120,Neutral,Awaiting legal review
A000057,D00639,R005,Meeting,2023-07-31,120,Neutral,Sent pricing deck
A000058,D00420,R005,Proposal Sent,2023-08-24,120,Positive,Stakeholder meeting set
A000059,D00594,R001,Follow-up,2024-12-26,30,Positive,Follow up scheduled
A000060,D00485,R003,Email,2024-12-31,60,No Response,Decision deferred
A000061,D00412,R002,Email,2023-03-17,15,Neutral,Follow up scheduled
A000062,D00936,R005,Call,2024-05-10,45,Positive,Budget approved
A000063,D01108,R005,Call,2024-02-03,45,Negative,Sent pricing deck
A000064,D01137,R002,Proposal Sent,2023-04-25,30,Neutral,Budget approved
A000065,D00332,R001,Demo,2024-03-20,90,Positive,Follow up scheduled
A000066,D00655,R003,Demo,2023-07-14,15,Negative,Sent pricing deck
A000067,D00041,R003,Email,2024-12-20,45,No Response,Follow up scheduled
A000068,D00959,R003,Email,2024-10-18,45,No Response,Awaiting legal review
A000069,D00105,R003,Follow-up,2023-09-08,45,Negative,Awaiting legal review
A000070,D00202,R005,Demo,2024-03-28,60,Negative,Champion confirmed
A000071,D00450,R002,Follow-up,2024-09-21,90,No Response,Champion confirmed
A000072,D00910,R002,Proposal Sent,2024-09-13,15,Positive,Stakeholder meeting set
A000073,D00210,R002,Email,2024-06-23,45,No Response,Awaiting legal review
A000074,D00563,R002,Call,2024-05-22,60,Neutral,Awaiting legal review
A000075,D01142,R004,Email,2023-04-26,45,Neutral,Stakeholder meeting set
A000076,D00713,R001,Follow-up,2024-02-18,15,Positive,Sent pricing deck
A000077,D00771,R002,Meeting,2023-06-16,60,Positive,Sent pricing deck
A000078,D01108,R005,Call,2023-10-29,90,Positive,
A000079,D00454,R005,Email,2024-11-29,45,Positive,Decision deferred
A000080,D00667,R001,Follow-up,2024-02-29,15,Negative,
A000081,D00629,R002,Call,2024-08-11,120,Positive,Decision deferred
A000082,D00387,R001,Demo,2024-04-23,60,Negative,Stakeholder meeting set
A000083,D00296,R001,Meeting,2024-11-05,60,Neutral,Follow up scheduled
A000084,D00258,R005,Email,2024-10-03,60,Positive,
A000085,D01105,R005,Email,2024-09-10,90,Neutral,Stakeholder meeting set
A000086,D00268,R005,Demo,2024-10-10,120,Neutral,Champion confirmed
A000087,D00419,R004,Follow-up,2024-10-05,120,Positive,Sent pricing deck
A000088,D00235,R002,Demo,2023-12-19,45,No Response,Follow up scheduled
A000089,D00986,R002,Call,2023-11-15,60,Positive,Sent pricing deck
A000090,D00574,R005,Demo,2024-11-25,90,Negative,
A000091,D00049,R003,Call,2024-07-25,60,Positive,Decision deferred
A000092,D01151,R001,Demo,2024-01-05,60,Neutral,Awaiting legal review
